index,reduced_formula,e_hull_eV_per_atom,in_sample_sun
1,Rb2Cd2SBr5,0.097559698,false
2,RbCd3SBr6,0.058879738,false
3,Rb2CdSBr10,-0.154110545,true
4,RbCd4SBr6,0.031635321,false
5,Rb2Cd(SBr3)2,-0.041031340,true
6,RbCd3SBr5,0.054324776,false
7,Rb2CdS2Br5,-0.024650975,true
8,Rb3Cd3(SBr4)2,0.041606339,false
9,RbCd6S2Br9,0.048026490,false
10,Rb2Cd3S4Br11,-0.014346315,true
11,Rb2Cd2SBr7,0.055624380,false
12,RbCd2S2Br7,0.033374265,false
13,Rb4Cd4SBr11,0.052369261,false
14,RbCd2SBr4,0.125207478,false
15,Rb2CdSBr7,-0.098292262,true
16,RbCd(SBr2)2,-0.015351949,true
17,Rb3Cd4S2Br7,0.067660239,false
18,Rb2Cd5S2Br7,0.033879910,false
19,Rb5Cd3(SBr5)2,0.009839461,false
20,Rb3CdSBr3,0.187347483,false
21,Rb3Cd4SBr10,0.051465663,false
22,Rb2Cd3SBr6,0.013742212,false
23,RbCd2S2Br5,-0.004549785,true
24,Rb2Cd2SBr6,0.084787713,false
25,Rb3Cd6S2Br9,0.040103337,false
26,RbCd(SBr4)2,-0.117240864,true
27,Rb2CdSBr5,0.075198702,false
28,Rb5CdSBr5,0.119271615,false
29,RbCd5(SBr4)2,0.051530512,false
30,RbCd4S3Br4,0.121355669,false
31,RbCd3S3Br4,0.042864491,false
32,Rb2Cd(SBr4)3,-0.150443880,true
33,RbCdS2Br5,-0.014674376,true
34,Rb4Cd2SBr11,-0.020660029,true
35,RbCd2(SBr3)2,-0.016228113,true
36,RbCdSBr5,-0.027220994,true
37,RbCdSBr4,0.067833112,false
38,Rb3Cd4SBr8,0.017885987,false
39,Rb5Cd2S3Br10,-0.028135199,true
40,Rb4Cd2S3Br11,0.007231366,false
41,Rb2Cd2(SBr3)3,0.007469784,false
42,RbCd2S4Br5,-0.042655614,true
43,Rb2Cd3S2Br5,0.096926149,false
44,Rb5Cd(S2Br)2,0.054938736,false
45,RbCd4S2Br9,0.018410355,false
46,RbCd2(SBr2)3,-0.019319272,true
47,Rb3Cd3S3Br2,0.161136890,false
48,Rb4Cd4(SBr3)3,0.059984794,false
49,Rb3Cd4S2Br9,0.074987537,false
50,Rb3CdS3Br13,-0.124167567,true
51,Rb2Cd5SBr12,0.056842835,false
52,Rb4Cd3S3Br10,0.059591655,false
53,Rb4Cd(SBr4)3,-0.043646897,true
54,RbCdSBr7,-0.165427182,true
55,Rb2Cd(SBr2)3,-0.031728939,true
56,Rb3Cd3SBr9,0.071277004,false
57,Rb2Sn3SBr6,0.066559612,false
58,Rb2Sn3S2Br9,0.116863288,false
59,Rb2SnSBr8,-0.001894770,true
60,Rb2Sn2SBr6,0.041422379,false
61,RbSn2SBr3,0.060345835,false
62,Rb2Sn5S2Br7,0.055019594,false
63,Rb2SnSBr6,0.183155092,false
64,Rb2Sn2SBr10,0.111128136,false
65,Rb2SnSBr3,0.082624951,false
66,RbSn(SBr4)2,0.078620190,false
67,RbSn4SBr6,0.029834553,false
68,Rb3SnS4Br7,-0.053919930,true
69,Rb3Sn3(SBr6)2,0.128474204,false
70,RbSnS2Br5,-0.006973658,true
71,Rb2SnSBr4,0.099370161,false
72,RbSnSBr5,0.111580402,false
73,RbSn2S3Br5,0.001975621,false
74,RbSnSBr6,0.141118998,false
75,Rb2Sn2SBr5,0.052781591,false
76,Rb2Sn3S2Br5,0.064169254,false
77,RbSnSBr3,0.039918662,false
78,RbSn7(SBr5)2,0.049357545,false
79,Rb4Sn3S2Br9,0.058383858,false
80,Rb5Sn3(SBr5)2,0.044625699,false
81,RbSn4S2Br5,0.051939632,false
82,Rb2SnS2Br3,0.162882563,false
83,RbSn5S3Br7,0.046762507,false
